strain	region	country
Argentina/PAIS-E0245/2021	South America	Argentina
Argentina/PAIS-E0238/2021	South America	Argentina
Argentina/PAIS-E0241/2021	South America	Argentina
Argentina/INEI104589/2021	South America	Argentina
Argentina/PAIS-E0231/2021	South America	Argentina
Argentina/PAIS-E0234/2021	South America	Argentina
Argentina/PAIS-E0235/2021	South America	Argentina
Argentina/PAIS-E0233/2021	South America	Argentina
Argentina/PAIS-E0237/2021	South America	Argentina
Argentina/PAIS-E0230/2021	South America	Argentina
Argentina/INEI104769/2021	South America	Argentina
Argentina/PAIS-E0232/2021	South America	Argentina
Argentina/INEI104770/2021	South America	Argentina
Argentina/INEI104476/2021	South America	Argentina
Argentina/PAIS-J00044/2021	South America	Argentina
Argentina/INEI104378/2021	South America	Argentina
Argentina/PAIS-E0273/2021	South America	Argentina
Argentina/INEI104231/2021	South America	Argentina
Argentina/PAIS-E0305/2021	South America	Argentina
Argentina/INEI104452/2021	South America	Argentina
Argentina/PAIS-E0258/2021	South America	Argentina
Argentina/PAIS-E0278/2021	South America	Argentina
Argentina/PAIS-E0261/2021	South America	Argentina
Argentina/PAIS-A0988/2021	South America	Argentina
Argentina/PAIS-E0257/2021	South America	Argentina
Argentina/PAIS-E0298/2021	South America	Argentina
Argentina/INEI104363/2021	South America	Argentina
Argentina/PAIS-E0297/2021	South America	Argentina
Argentina/PAIS-E0283/2021	South America	Argentina
Argentina/PAIS-A0978/2021	South America	Argentina
Argentina/PAIS-J00026/2021	South America	Argentina
Argentina/PAIS-E0290/2021	South America	Argentina
Argentina/INEI104232/2021	South America	Argentina
Argentina/PAIS-E0285/2021	South America	Argentina
Argentina/PAIS-E0267/2021	South America	Argentina
Argentina/PAIS-E0268/2021	South America	Argentina
Argentina/PAIS-A0847/2021	South America	Argentina
Argentina/PAIS-E0266/2021	South America	Argentina
Argentina/PAIS-E0265/2021	South America	Argentina
Argentina/PAIS-E0286/2021	South America	Argentina
Argentina/INEI104233/2021	South America	Argentina
Argentina/PAIS-E0281/2021	South America	Argentina
Argentina/PAIS-J00018/2021	South America	Argentina
Argentina/INEI104352/2021	South America	Argentina
Argentina/PAIS-J00012/2021	South America	Argentina
Argentina/INEI104381/2021	South America	Argentina
Argentina/PAIS-E0280/2021	South America	Argentina
Argentina/PAIS-E0272/2021	South America	Argentina
Argentina/INEI106557/2021	South America	Argentina
Argentina/PAIS-A0812/2021	South America	Argentina
Argentina/INEI106559/2021	South America	Argentina
Argentina/INEI107302/2021	South America	Argentina
Argentina/INEI107622/2021	South America	Argentina
Argentina/INEI107624/2021	South America	Argentina
Argentina/INEI107605/2021	South America	Argentina
Argentina/INEI104867/2021	South America	Argentina
Argentina/PAIS-E0371/2021	South America	Argentina
Argentina/INEI106372/2021	South America	Argentina
Argentina/PAIS-E0348/2021	South America	Argentina
Argentina/INEI106361/2021	South America	Argentina
Argentina/INEI106188/2021	South America	Argentina
Argentina/INEI106162/2021	South America	Argentina
Argentina/INEI106160/2021	South America	Argentina
Argentina/PAIS-E0367/2021	South America	Argentina
Argentina/PAIS-E0361/2021	South America	Argentina
Argentina/INEI106147/2021	South America	Argentina
Argentina/PAIS-E0352/2021	South America	Argentina
Argentina/INEI106197/2021	South America	Argentina
Argentina/INEI107619/2021	South America	Argentina
Argentina/INEI106290/2021	South America	Argentina
Argentina/INEI107301/2021	South America	Argentina
Argentina/INEI106292/2021	South America	Argentina
Argentina/INEI107298/2021	South America	Argentina
Argentina/INEI107309/2021	South America	Argentina
Argentina/PAIS-E0382/2021	South America	Argentina
Argentina/INEI107598/2021	South America	Argentina
Argentina/INEI107510/2021	South America	Argentina
Argentina/INEI107582/2021	South America	Argentina
Argentina/INEI107626/2021	South America	Argentina
Argentina/INEI107756/2021	South America	Argentina
Argentina/INEI107601/2021	South America	Argentina
Argentina/INEI107790/2021	South America	Argentina
Argentina/INEI107826/2021	South America	Argentina
Argentina/INEI107920/2021	South America	Argentina
Argentina/INEI107907/2021	South America	Argentina
Argentina/INEI107908/2021	South America	Argentina
Argentina/INEI107615/2021	South America	Argentina
Argentina/INEI107614/2021	South America	Argentina
Argentina/PAIS-E0349/2021	South America	Argentina
Argentina/INEI107713/2021	South America	Argentina
Argentina/INEI107676/2021	South America	Argentina
Argentina/PAIS-E0369/2021	South America	Argentina
Argentina/INEI107612/2021	South America	Argentina
Argentina/INEI107666/2021	South America	Argentina
Argentina/PAIS-E0376/2021	South America	Argentina
Argentina/PAIS-E0381/2021	South America	Argentina
Argentina/INEI107652/2021	South America	Argentina
Argentina/INEI107608/2021	South America	Argentina
Argentina/PAIS-E0377/2021	South America	Argentina
Argentina/INEI107642/2021	South America	Argentina
Argentina/INEI107767/2021	South America	Argentina
Argentina/INEI107766/2021	South America	Argentina
Argentina/INEI107765/2021	South America	Argentina
Argentina/INEI107638/2021	South America	Argentina
Argentina/INEI107737/2021	South America	Argentina
Argentina/INEI107722/2021	South America	Argentina
Argentina/INEI107717/2021	South America	Argentina
Argentina/INEI106287/2021	South America	Argentina
Argentina/INEI107290/2021	South America	Argentina
Argentina/INEI107291/2021	South America	Argentina
Argentina/INEI107643/2021	South America	Argentina
Argentina/INEI107838/2021	South America	Argentina
Argentina/INEI104905/2021	South America	Argentina
Argentina/PAIS-E0368/2021	South America	Argentina
Argentina/INEI106201/2021	South America	Argentina
Argentina/INEI106425/2021	South America	Argentina
Argentina/INEI106447/2021	South America	Argentina
Argentina/PAIS-A0547/2021	South America	Argentina
Argentina/INEI106482/2021	South America	Argentina
Argentina/INEI106499/2021	South America	Argentina
Argentina/INEI106491/2021	South America	Argentina
Argentina/INEI106450/2021	South America	Argentina
Argentina/INEI106420/2021	South America	Argentina
Argentina/INEI106421/2021	South America	Argentina
Argentina/INEI105517/2021	South America	Argentina
Argentina/INEI106089/2021	South America	Argentina
Argentina/INEI105513/2021	South America	Argentina
Argentina/INEI105506/2021	South America	Argentina
Argentina/INEI105546/2021	South America	Argentina
Argentina/INEI105575/2021	South America	Argentina
Argentina/INEI105568/2021	South America	Argentina
Argentina/INEI106381/2021	South America	Argentina
Argentina/INEI105536/2021	South America	Argentina
Argentina/PAIS-E0311/2021	South America	Argentina
Argentina/PAIS-A0539/2021	South America	Argentina
Argentina/PAIS-G0316/2021	South America	Argentina
Argentina/PAIS-G0314/2021	South America	Argentina
