strain	region	country
env/Austria/CeMM18891/2021	Europe	Austria
Austria/CeMM15650/2021	Europe	Austria
Austria/CeMM15366/2021	Europe	Austria
Austria/CeMM19002/2021	Europe	Austria
env/Austria/CeMM20491/2021	Europe	Austria
env/Austria/CeMM19318/2021	Europe	Austria
env/Austria/CeMM20478/2021	Europe	Austria
Bahrain/NPS/2021	Asia	Bahrain
Bahrain/820002674/2021	Asia	Bahrain
Bahrain/921007640_S108_L001/2021	Asia	Bahrain
Bahrain/342241222/2021	Asia	Bahrain
Bahrain/342177678/2021	Asia	Bahrain
Bahrain/342175651/2021	Asia	Bahrain
Bangladesh/CHRF-0625/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB02-030/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS09-024/2021	Asia	Bangladesh
Bangladesh/BCSIR-DU-86/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS09-019/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB13-047/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB02-005/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB12-033/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-041/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB08-029/2021	Asia	Bangladesh
Bangladesh/ideSHi-ESP-005/2021	Asia	Bangladesh
Bangladesh/IEDCR-icddrb-GSB02-042/2021	Asia	Bangladesh
Bangladesh/CHRF-0669/2021	Asia	Bangladesh
Bangladesh/CHRF-0792_Pr/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB02-004/2021	Asia	Bangladesh
Bangladesh/BCSIR-DU-88/2021	Asia	Bangladesh
Bangladesh/CHRF-0663/2021	Asia	Bangladesh
Bangladesh/CHRF-0664/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS01-032/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB01-035/2021	Asia	Bangladesh
Bangladesh/CHRF-0626/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB02-028/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS01-029/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB16-009/2021	Asia	Bangladesh
Bangladesh/CHRF-0660/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS01-027/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS09-020/2021	Asia	Bangladesh
Bangladesh/CHRF-0618/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-0560/2021	Asia	Bangladesh
Bangladesh/icddrb-CMOSH-CU-20210706-0027/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB02-029/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB02-023/2021	Asia	Bangladesh
Bangladesh/CHRF-0629/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-404/2021	Asia	Bangladesh
Bangladesh/BCSIR-DU-94/2021	Asia	Bangladesh
Bangladesh/CHRF-0622/2021	Asia	Bangladesh
Bangladesh/CHRF-0631/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-043/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-0569/2021	Asia	Bangladesh
Bangladesh/IEDCR-icddrb-GSB01-045/2021	Asia	Bangladesh
Bangladesh/BSMMU_Laila_85/2021	Asia	Bangladesh
Bangladesh/BSMMU_Laila_92/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB01-004/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB11-050/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB13-017/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB13-010/2021	Asia	Bangladesh
Bangladesh/icddrb-CU-CMOSH-042/2021	Asia	Bangladesh
Bangladesh/icddrb-CU-CGH-4879/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-013/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB14-016/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-015/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB06-009/2021	Asia	Bangladesh
Bangladesh/icddrb-CU-CMOSH-040/2021	Asia	Bangladesh
Bangladesh/BCSIR-DU-40/2021	Asia	Bangladesh
Bangladesh/icddrb-CU-CMOSH-028/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB17-034/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-468/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB17-019/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB16-010/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB17-014/2021	Asia	Bangladesh
Bangladesh/BCSIR-DU-100/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-017/2021	Asia	Bangladesh
Bangladesh/BSMMU_Laila_48/2021	Asia	Bangladesh
Bangladesh/CHRF-0558_Pr/2021	Asia	Bangladesh
Bangladesh/CHRF-0572_Pr/2021	Asia	Bangladesh
Bangladesh/CHRF-0551_Pr/2021	Asia	Bangladesh
Bangladesh/CHRF-0582_Pr/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB05-052/2021	Asia	Bangladesh
Bangladesh/CHRF-0591_Pr/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-047/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-011/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB10-005/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB16-020/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB13-044/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB15-006/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB09-008/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB16-007/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB17-008/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-004/2021	Asia	Bangladesh
Bangladesh/BSMMU_Laila_83/2021	Asia	Bangladesh
Bangladesh/BSMMU_Laila_73/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB01-012/2021	Asia	Bangladesh
Bangladesh/TND-01-0029/2021	Asia	Bangladesh
Bangladesh/CHRF-0476/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB16-024/2021	Asia	Bangladesh
Bangladesh/icddrb-KH-056-D01/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS14-032/2021	Asia	Bangladesh
Bangladesh/CHRF-0501/2021	Asia	Bangladesh
Bangladesh/CHRF-0500/2021	Asia	Bangladesh
Bangladesh/CHRF-0494/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS14-035/2021	Asia	Bangladesh
Bangladesh/BSMMU_Laila_84/2021	Asia	Bangladesh
Bangladesh/icddrb-KH-052-D01/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS02-034/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GBS14-036/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB09-009/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-032/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB11-049/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB16-017/2021	Asia	Bangladesh
Bangladesh/BCSIR-NILMRC-819/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-033/2021	Asia	Bangladesh
Bangladesh/icddrb-8497A/2021	Asia	Bangladesh
Bangladesh/BCSIR-DU-57/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB01-006/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-07-010/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-462/2021	Asia	Bangladesh
Bangladesh/CHRF-0624/2021	Asia	Bangladesh
Bangladesh/PRTC-CVASU-BCSIR-13/2021	Asia	Bangladesh
Bangladesh/BCSIR-CVASU-13/2021	Asia	Bangladesh
Bangladesh/ideSHi-IR-961/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-387/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-380/2021	Asia	Bangladesh
Bangladesh/PRTC-CVASU-BCSIR-18/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-503/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-10-012/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-02-015/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-469/2021	Asia	Bangladesh
Bangladesh/icddrb-1210511024/2021	Asia	Bangladesh
Bangladesh/icddrb-0289/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-382/2021	Asia	Bangladesh
Bangladesh/CHRF-0520_Pr/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-332/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB-02-011/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB-02-017/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB14-058/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-322/2021	Asia	Bangladesh
Bangladesh/ideSHi-IR-977/2021	Asia	Bangladesh
Bangladesh/IEDCR-icddrb-GSB01-071/2021	Asia	Bangladesh
Bangladesh/CHRF-0402/2021	Asia	Bangladesh
Bangladesh/CHRF-0408/2021	Asia	Bangladesh
Bangladesh/CHRF-0404/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-01-021/2021	Asia	Bangladesh
Bangladesh/CHRF-0443/2021	Asia	Bangladesh
Bangladesh/CHRF-0369/2021	Asia	Bangladesh
Bangladesh/CHRF-0413/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-537/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-530/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB11-064/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB-07-011/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB11-011/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-GSB-01-020/2021	Asia	Bangladesh
Bangladesh/TND-05-0054/2021	Asia	Bangladesh
Bangladesh/TND-05-0067/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-004/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-582/2021	Asia	Bangladesh
Bangladesh/ideSHi-KH-050/2021	Asia	Bangladesh
Bangladesh/IEDCR-ideSHi-07-013/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-381/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-027/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB06-019/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB05-028/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-0183/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-529/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB04-029/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-025/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB03-029/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB10-013/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-463/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-515/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB12-014/2021	Asia	Bangladesh
Bangladesh/icddrb-GSB15-026/2021	Asia	Bangladesh
Bangladesh/IEDCR-V-67221/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-252/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-255/2021	Asia	Bangladesh
Bangladesh/CHRF-GSB06-018/2021	Asia	Bangladesh
Bangladesh/IEDCR-OIS-250/2021	Asia	Bangladesh
Belgium/ZNA_21827436/2021	Europe	Belarus
Japan/IC-1952/2021	Asia	Japan
Belgium/ULB-IBC_CV8294561037/2021	Europe	Belgium
Belgium/UMONS-P039167601/2021	Europe	Belgium
Belgium/UMONS-P041751701/2021	Europe	Belgium
Belgium/rega-15485/2021	Europe	Belgium
Belgium/rega-17634/2021	Europe	Belgium
Belgium/CHUNamur13731386/2021	Europe	Belgium
Belgium/CHUNamur13718877/2021	Europe	Belgium
Belgium/rega-12728/2021	Europe	Belgium
Belgium/rega-11704/2021	Europe	Belgium
Belgium/IPG-973/2021	Europe	Belgium
Belgium/ULB-IBC_CV8257488142/2021	Europe	Belgium
Belgium/UZA-UA-CV8213334449/2021	Europe	Belgium
Belgium/rega-21191/2021	Europe	Belgium
Belgium/UZB_EY0766/2021	Europe	Belgium
Belgium/UGent-10799/2021	Europe	Belgium
Belgium/UGent-11215/2021	Europe	Belgium
Belgium/UZA-UA-CV8293099165/2021	Europe	Belgium
Belgium/Jessa_11-2146-005629ZOL/2021	Europe	Belgium
Belgium/rega-22504/2021	Europe	Belgium
Belgium/Jessa_11-2146-005634ZOL/2021	Europe	Belgium
Belgium/ULG-22471/2021	Europe	Belgium
Belgium/MBLGPF85465669/2021	Europe	Belgium
Belgium/UZA-UA-8816049100/2021	Europe	Belgium
Belgium/CHUNamur13741120/2021	Europe	Belgium
Belgium/CHUNamur13718202/2021	Europe	Belgium
Belgium/UZA-UA-2816239440/2021	Europe	Belgium
Belgium/CHUNamur13851791/2021	Europe	Belgium
Belgium/AZKLINA121-183070/2021	Europe	Belgium
Belgium/UZA-UA-CV8292944066/2021	Europe	Belgium
Belgium/CHUNamur13808729/2021	Europe	Belgium
Belgium/MBLG-CTMAPF06975390/2021	Europe	Belgium
Belgium/AZDelta-07743-2137R/2021	Europe	Belgium
Belgium/ULG-22952/2021	Europe	Belgium
Belgium/ULG-22979/2021	Europe	Belgium
Belgium/ULG-22994/2021	Europe	Belgium
Belgium/UZA-UA-48401586/2021	Europe	Belgium
Belgium/ULG-22904/2021	Europe	Belgium
Belgium/SJ4508662/2021	Europe	Belgium
Belgium/Aalst-OLVZ-827185101/2021	Europe	Belgium
Belgium/ULG-17746/2021	Europe	Belgium
Belgium/CHUNamur13785161/2021	Europe	Belgium
