strain	region	country
Argentina/INEI118772/2022	South America	Argentina
Argentina/INEI118465/2022	South America	Argentina
Argentina/INEI118766/2022	South America	Argentina
Argentina/INEI118746/2022	South America	Argentina
Argentina/INEI118731/2022	South America	Argentina
Argentina/INEI118702/2022	South America	Argentina
Argentina/INEI118700/2022	South America	Argentina
Argentina/INEI118684/2022	South America	Argentina
Argentina/INEI118680/2022	South America	Argentina
Argentina/INEI118670/2022	South America	Argentina
Argentina/INEI118758/2022	South America	Argentina
Argentina/INEI118460/2022	South America	Argentina
Argentina/INEI118664/2022	South America	Argentina
Argentina/INEI118451/2022	South America	Argentina
Argentina/INEI118310/2022	South America	Argentina
Argentina/INEI118309/2022	South America	Argentina
Argentina/INEI118308/2022	South America	Argentina
Argentina/INEI118273/2022	South America	Argentina
Argentina/INEI118272/2022	South America	Argentina
Argentina/INEI118264/2022	South America	Argentina
Argentina/INEI118262/2022	South America	Argentina
Argentina/INEI118257/2022	South America	Argentina
Argentina/INEI118256/2022	South America	Argentina
Argentina/INEI118255/2022	South America	Argentina
Argentina/INEI118252/2022	South America	Argentina
Argentina/INEI118247/2022	South America	Argentina
Argentina/INEI118459/2022	South America	Argentina
Argentina/INEI118239/2022	South America	Argentina
Argentina/INEI118238/2022	South America	Argentina
Argentina/INEI118312/2022	South America	Argentina
Argentina/INEI118326/2022	South America	Argentina
Argentina/INEI118267/2022	South America	Argentina
Argentina/INEI118342/2022	South America	Argentina
Argentina/INEI118441/2022	South America	Argentina
Argentina/INEI118336/2022	South America	Argentina
Argentina/INEI118437/2022	South America	Argentina
Argentina/INEI118434/2022	South America	Argentina
Argentina/INEI118429/2022	South America	Argentina
Argentina/INEI118427/2022	South America	Argentina
Argentina/INEI118421/2022	South America	Argentina
Argentina/INEI118420/2022	South America	Argentina
Argentina/INEI118447/2022	South America	Argentina
Argentina/INEI118405/2022	South America	Argentina
Argentina/INEI118396/2022	South America	Argentina
Argentina/INEI118355/2022	South America	Argentina
Argentina/INEI118351/2022	South America	Argentina
Argentina/INEI118450/2022	South America	Argentina
Argentina/INEI118349/2022	South America	Argentina
Argentina/INEI118343/2022	South America	Argentina
Australia/SA53251/2022	Oceania	Australia
Australia/SA45001/2022	Oceania	Australia
Australia/SA45900/2022	Oceania	Australia
Australia/SA47049/2022	Oceania	Australia
Australia/SA15048/2022	Oceania	Australia
Australia/SA50170/2022	Oceania	Australia
Australia/SA53060/2022	Oceania	Australia
Australia/SA20970/2022	Oceania	Australia
Australia/SA26333/2022	Oceania	Australia
Australia/SA60773/2022	Oceania	Australia
Australia/SA59755/2022	Oceania	Australia
Australia/SA60176/2022	Oceania	Australia
Australia/SA60631/2022	Oceania	Australia
Australia/SA60661/2022	Oceania	Australia
Australia/SA64003/2022	Oceania	Australia
Australia/SA60855/2022	Oceania	Australia
Australia/SA135754/2022	Oceania	Australia
Australia/SA61546/2022	Oceania	Australia
Australia/SA62312/2022	Oceania	Australia
Australia/SA5370/2021	Oceania	Australia
Australia/SA135749/2022	Oceania	Australia
Australia/SA129388/2022	Oceania	Australia
Australia/SA135738/2022	Oceania	Australia
Australia/SA127391/2022	Oceania	Australia
Australia/SA65441/2022	Oceania	Australia
Australia/SA12729/2021	Oceania	Australia
Australia/SA128100/2022	Oceania	Australia
Australia/SA128706/2022	Oceania	Australia
Australia/SA128916/2022	Oceania	Australia
Australia/SA129255/2022	Oceania	Australia
Australia/SA130623/2022	Oceania	Australia
Australia/SA131790/2022	Oceania	Australia
Australia/SA135740/2022	Oceania	Australia
Australia/SA131803/2022	Oceania	Australia
Australia/SA134240/2022	Oceania	Australia
Australia/SA134241/2022	Oceania	Australia
Australia/SA134587/2022	Oceania	Australia
Australia/SA134774/2022	Oceania	Australia
Australia/SA135105/2022	Oceania	Australia
Australia/SA135213/2022	Oceania	Australia
Australia/SA135408/2022	Oceania	Australia
Australia/SA135652/2022	Oceania	Australia
Australia/SA135733/2022	Oceania	Australia
Australia/SA134108/2022	Oceania	Australia
Australia/SA71366/2022	Oceania	Australia
Australia/VIC34752/2022	Oceania	Australia
Australia/SA72612/2022	Oceania	Australia
Australia/VIC34521/2022	Oceania	Australia
Australia/VIC34623/2022	Oceania	Australia
Australia/VIC34625/2022	Oceania	Australia
Australia/VIC34630/2022	Oceania	Australia
Australia/VIC34659/2022	Oceania	Australia
Australia/VIC34670/2022	Oceania	Australia
Australia/VIC34684/2022	Oceania	Australia
Australia/VIC34685/2022	Oceania	Australia
Australia/VIC34709/2022	Oceania	Australia
Australia/VIC34517/2022	Oceania	Australia
Australia/VIC34715/2022	Oceania	Australia
Australia/VIC34801/2022	Oceania	Australia
Australia/VIC34844/2021	Oceania	Australia
Australia/VIC34878/2022	Oceania	Australia
Australia/VIC34885/2021	Oceania	Australia
Australia/VIC34909/2022	Oceania	Australia
Australia/VIC34926/2022	Oceania	Australia
Australia/VIC34978/2022	Oceania	Australia
Australia/SA127090/2022	Oceania	Australia
Australia/VIC35024/2021	Oceania	Australia
Australia/VIC34792/2022	Oceania	Australia
Australia/SA72495/2022	Oceania	Australia
Australia/VIC34460/2022	Oceania	Australia
Australia/VIC34392/2022	Oceania	Australia
Australia/SA72671/2022	Oceania	Australia
Australia/SA7407/2021	Oceania	Australia
Australia/SA82517/2022	Oceania	Australia
Australia/SA82796/2022	Oceania	Australia
Australia/SA82876/2022	Oceania	Australia
Australia/SA83812/2022	Oceania	Australia
Australia/SA85796/2022	Oceania	Australia
Australia/SA86221/2022	Oceania	Australia
Australia/SA91789/2022	Oceania	Australia
Australia/VIC34430/2022	Oceania	Australia
Australia/SA99080/2022	Oceania	Australia
Australia/VIC31818/2021	Oceania	Australia
Australia/VIC31902/2021	Oceania	Australia
Australia/VIC33463/2021	Oceania	Australia
Australia/VIC33516/2021	Oceania	Australia
Australia/VIC34140/2022	Oceania	Australia
Australia/VIC34176/2022	Oceania	Australia
Australia/VIC34183/2022	Oceania	Australia
Australia/VIC34184/2022	Oceania	Australia
Australia/VIC34304/2022	Oceania	Australia
Australia/SA99454/2022	Oceania	Australia
Australia/SA123696/2022	Oceania	Australia
Australia/QLD38834/2022	Oceania	Australia
Australia/SA122331/2022	Oceania	Australia
Australia/QLD39026/2022	Oceania	Australia
Australia/QLD39028/2022	Oceania	Australia
Australia/QLD39035/2022	Oceania	Australia
Australia/QLD39037/2022	Oceania	Australia
Australia/QLD39110/2022	Oceania	Australia
Australia/QLD39202/2022	Oceania	Australia
Australia/QLD39204/2022	Oceania	Australia
Australia/QLD39207/2022	Oceania	Australia
Australia/QLD39265/2022	Oceania	Australia
Australia/QLD39295/2022	Oceania	Australia
Australia/QLD39314/2022	Oceania	Australia
Australia/QLD39596/2022	Oceania	Australia
Australia/QLD39607/2022	Oceania	Australia
Australia/QLD39649/2022	Oceania	Australia
Australia/QLD39710/2022	Oceania	Australia
Australia/QLD39715/2022	Oceania	Australia
Australia/QLD39716/2022	Oceania	Australia
Australia/QLD39721/2022	Oceania	Australia
Australia/QLD39732/2022	Oceania	Australia
Australia/QLD38995/2022	Oceania	Australia
Australia/QLD38969/2022	Oceania	Australia
Australia/QLD38952/2022	Oceania	Australia
Australia/QLD38943/2022	Oceania	Australia
Australia/VIC35071/2022	Oceania	Australia
Australia/QLD38555/2022	Oceania	Australia
Australia/QLD38560/2022	Oceania	Australia
Australia/QLD38569/2022	Oceania	Australia
Australia/QLD38583/2022	Oceania	Australia
Australia/QLD38588/2022	Oceania	Australia
Australia/QLD38596/2022	Oceania	Australia
Australia/QLD38617/2022	Oceania	Australia
Australia/QLD38724/2022	Oceania	Australia
Australia/QLD39758/2022	Oceania	Australia
Australia/QLD38745/2022	Oceania	Australia
Australia/QLD38769/2022	Oceania	Australia
Australia/QLD38771/2022	Oceania	Australia
Australia/QLD38798/2022	Oceania	Australia
Australia/QLD38814/2022	Oceania	Australia
Australia/QLD38818/2022	Oceania	Australia
Australia/QLD38819/2022	Oceania	Australia
Australia/QLD38820/2022	Oceania	Australia
Australia/QLD38839/2022	Oceania	Australia
Australia/QLD38917/2022	Oceania	Australia
Australia/QLD38755/2022	Oceania	Australia
Australia/QLD39822/2022	Oceania	Australia
Australia/QLD39902/2022	Oceania	Australia
Australia/QLD39925/2022	Oceania	Australia
Australia/SA110301/2022	Oceania	Australia
Australia/SA110602/2022	Oceania	Australia
Australia/SA112965/2022	Oceania	Australia
Australia/SA113925/2022	Oceania	Australia
Australia/SA113931/2022	Oceania	Australia
Australia/SA115520/2022	Oceania	Australia
Australia/SA115579/2022	Oceania	Australia
Australia/SA115703/2022	Oceania	Australia
Australia/SA115771/2022	Oceania	Australia
Australia/SA108467/2022	Oceania	Australia
Australia/SA115805/2022	Oceania	Australia
Australia/SA116015/2022	Oceania	Australia
Australia/SA116284/2022	Oceania	Australia
Australia/SA117272/2022	Oceania	Australia
Australia/SA117283/2022	Oceania	Australia
Australia/SA117793/2022	Oceania	Australia
Australia/SA120982/2022	Oceania	Australia
Australia/SA121134/2022	Oceania	Australia
Australia/SA121989/2022	Oceania	Australia
Australia/SA122161/2022	Oceania	Australia
Australia/SA115887/2022	Oceania	Australia
Australia/SA122821/2022	Oceania	Australia
Australia/SA106040/2022	Oceania	Australia
Australia/SA105168/2022	Oceania	Australia
Australia/QLD4289/2021	Oceania	Australia
Australia/QLD4387/2021	Oceania	Australia
Australia/QLD44527/2022	Oceania	Australia
Australia/QLD5070/2021	Oceania	Australia
Australia/QLD5360/2021	Oceania	Australia
Australia/QLD5385/2021	Oceania	Australia
Australia/QLD5534/2021	Oceania	Australia
Australia/QLD5642/2021	Oceania	Australia
Australia/QLD5994/2021	Oceania	Australia
Australia/SA105456/2022	Oceania	Australia
Australia/QLD6275/2021	Oceania	Australia
Australia/SA101513/2022	Oceania	Australia
