strain	region	country																				
Argentina/INEI117471/2022	South America	Argentina																				
Argentina/INEI117447/2022	South America	Argentina																				
Argentina/INEI117446/2022	South America	Argentina																				
Argentina/INEI117439/2022	South America	Argentina																				
Argentina/INEI117317/2021	South America	Argentina																				
Argentina/INEI117218/2021	South America	Argentina																				
Argentina/INEI117195/2022	South America	Argentina																				
Argentina/INEI117194/2022	South America	Argentina																				
Argentina/INEI117458/2022	South America	Argentina																				
Argentina/INEI118199/2022	South America	Argentina																				
Argentina/INEI117524/2022	South America	Argentina																				
Argentina/INEI118218/2022	South America	Argentina																				
Argentina/INEI118574/2022	South America	Argentina																				
Argentina/INEI118539/2022	South America	Argentina																				
Argentina/INEI118532/2022	South America	Argentina																				
Argentina/INEI118525/2022	South America	Argentina																				
Argentina/INEI118512/2022	South America	Argentina																				
Argentina/INEI118510/2022	South America	Argentina																				
Argentina/INEI118480/2022	South America	Argentina																				
Argentina/INEI118476/2022	South America	Argentina																				
Argentina/INEI118474/2022	South America	Argentina																				
Argentina/INEI118470/2022	South America	Argentina																				
Argentina/INEI118468/2022	South America	Argentina																				
Argentina/INEI118465/2022	South America	Argentina																				
Argentina/INEI118460/2022	South America	Argentina																				
Argentina/INEI118459/2022	South America	Argentina																				
Argentina/INEI118451/2022	South America	Argentina																				
Argentina/INEI118582/2022	South America	Argentina																				
Argentina/INEI118585/2022	South America	Argentina																				
Argentina/INEI118599/2022	South America	Argentina																				
Argentina/INEI118612/2022	South America	Argentina																				
Argentina/INEI118775/2022	South America	Argentina																				
Argentina/INEI118215/2022	South America	Argentina																				
Argentina/INEI118772/2022	South America	Argentina																				
Argentina/INEI118770/2022	South America	Argentina																				
Argentina/INEI118759/2022	South America	Argentina																				
Argentina/INEI118758/2022	South America	Argentina																				
Argentina/INEI118746/2022	South America	Argentina																				
Argentina/INEI118450/2022	South America	Argentina																				
Argentina/INEI118731/2022	South America	Argentina																				
Argentina/INEI118684/2022	South America	Argentina																				
Argentina/INEI118680/2022	South America	Argentina																				
Argentina/INEI118668/2022	South America	Argentina																				
Argentina/INEI118664/2022	South America	Argentina																				
Argentina/INEI118661/2022	South America	Argentina																				
Argentina/INEI118660/2022	South America	Argentina																				
Argentina/INEI118649/2022	South America	Argentina																				
Argentina/INEI118696/2022	South America	Argentina																				
Argentina/INEI118447/2022	South America	Argentina																				
Argentina/INEI118608/2022	South America	Argentina																				
Argentina/INEI118437/2022	South America	Argentina																				
Argentina/INEI118272/2022	South America	Argentina																				
Argentina/INEI118267/2022	South America	Argentina																				
Argentina/INEI118264/2022	South America	Argentina																				
Argentina/INEI118262/2022	South America	Argentina																				
Argentina/INEI118257/2022	South America	Argentina																				
Argentina/INEI118255/2022	South America	Argentina																				
Argentina/INEI118252/2022	South America	Argentina																				
Argentina/INEI118247/2022	South America	Argentina																				
Argentina/INEI118239/2022	South America	Argentina																				
Argentina/INEI118238/2022	South America	Argentina																				
Argentina/INEI118237/2022	South America	Argentina																				
Argentina/INEI118234/2022	South America	Argentina																				
Argentina/INEI118441/2022	South America	Argentina																				
Argentina/INEI118224/2022	South America	Argentina																				
Argentina/INEI118222/2022	South America	Argentina																				
Argentina/INEI118273/2022	South America	Argentina																				
Argentina/INEI118308/2022	South America	Argentina																				
Argentina/INEI118256/2022	South America	Argentina																				
Argentina/INEI118310/2022	South America	Argentina																				
Argentina/INEI118427/2022	South America	Argentina																				
Argentina/INEI118421/2022	South America	Argentina																				
Argentina/INEI118420/2022	South America	Argentina																				
Argentina/INEI118309/2022	South America	Argentina																				
Argentina/INEI118405/2022	South America	Argentina																				
Argentina/INEI118355/2022	South America	Argentina																				
Argentina/INEI118351/2022	South America	Argentina																				
Argentina/INEI118396/2022	South America	Argentina																				
Argentina/INEI118429/2022	South America	Argentina																				
Argentina/INEI118343/2022	South America	Argentina																				
Argentina/INEI118342/2022	South America	Argentina																				
Argentina/INEI118336/2022	South America	Argentina																				
Argentina/INEI118312/2022	South America	Argentina																				
Argentina/INEI118349/2022	South America	Argentina																				
Argentina/INEI118434/2022	South America	Argentina																				
Argentina/INEI118326/2022	South America	Argentina																				
Australia/SA117282/2022	Oceania	Australia																				
Australia/SA117213/2022	Oceania	Australia																				
Australia/SA11366/2021	Oceania	Australia																				
Australia/SA115579/2022	Oceania	Australia																				
